epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9809,2.33627,2.8993,1.57153,1e-05,0.00044,0,0,3.9727,8.8496,2.01702,0.0902954,9.71429e-06,9.71429e-06
2,101.37,1.585,1.58825,1.14639,0.32669,0.32112,0.28818,0.13206,1.68997,2.97294,1.09563,0.0803054,1.97121e-05,1.97121e-05
3,141.41,1.51794,1.45618,1.117,0.66188,0.45253,0.44265,0.25493,1.44451,2.28324,1.01928,0.0703154,2.97014e-05,2.97014e-05
4,180.484,1.48602,1.38464,1.09175,0.69817,0.45842,0.47092,0.16334,2.15904,1.6615,1.3045,0.0603254,3.96755e-05,3.96755e-05
5,223.041,1.47105,1.35661,1.09643,0.69422,0.32674,0.26914,0.12889,2.34712,2.20364,1.27549,0.0503353,4.9628e-05,4.9628e-05
6,260.872,1.4943,1.37462,1.09474,0.5821,0.48419,0.46326,0.24736,1.43706,1.70574,1.00915,0.0403453,5.95524e-05,5.95524e-05
7,298.594,1.35078,1.31176,1.05067,0.65975,0.5124,0.53371,0.33872,1.38473,1.47865,1.00837,0.0303552,6.94422e-05,6.94422e-05
8,336.46,1.38776,1.30179,1.05506,0.66801,0.53429,0.54464,0.34701,1.29303,1.36734,0.98123,0.020365,7.9291e-05,7.9291e-05
9,374.445,1.39364,1.26714,1.05448,0.55966,0.57046,0.57743,0.38404,1.2777,1.31561,0.96642,0.0103748,8.90924e-05,8.90924e-05
10,412.279,1.3801,1.26511,1.04851,0.53085,0.58057,0.58027,0.36542,1.39929,1.37039,0.99448,0.000384554,9.884e-05,9.884e-05
11,450.003,1.34171,1.25112,1.04442,0.53328,0.62021,0.59468,0.37095,1.44662,1.30094,1.0252,9.89183e-05,9.89183e-05,9.89183e-05
12,487.7,1.31657,1.22469,1.03141,0.47323,0.59997,0.59176,0.39681,1.18516,1.35243,0.94948,9.86922e-05,9.86922e-05,9.86922e-05
13,525.715,1.34349,1.21502,1.02983,0.58976,0.60762,0.60301,0.30974,1.63486,1.3784,1.07253,9.84449e-05,9.84449e-05,9.84449e-05
14,563.423,1.30104,1.20112,1.0336,0.54253,0.60634,0.58895,0.38062,1.3235,1.3521,0.9729,9.81765e-05,9.81765e-05,9.81765e-05
15,601.205,1.25228,1.16756,1.00991,0.54685,0.60671,0.60179,0.40023,1.30811,1.3629,0.9672,9.78873e-05,9.78873e-05,9.78873e-05
16,639.084,1.30109,1.18473,1.02837,0.53555,0.60245,0.60157,0.39553,1.25698,1.25312,0.96235,9.75773e-05,9.75773e-05,9.75773e-05
17,676.827,1.34743,1.18886,1.03506,0.56264,0.61948,0.6036,0.36203,1.37886,1.28928,0.99082,9.72466e-05,9.72466e-05,9.72466e-05
18,714.482,1.27229,1.16613,1.00788,0.59477,0.59799,0.61452,0.36606,1.53112,1.30266,1.05643,9.68955e-05,9.68955e-05,9.68955e-05
19,752.388,1.26865,1.17446,1.00963,0.56668,0.57035,0.5762,0.39361,1.29331,1.44987,0.96031,9.65239e-05,9.65239e-05,9.65239e-05
20,790.063,1.31867,1.19339,1.02651,0.52544,0.63304,0.60694,0.33905,1.49074,1.35436,1.03214,9.61322e-05,9.61322e-05,9.61322e-05
21,827.829,1.2501,1.13806,1.00854,0.57486,0.60482,0.5902,0.40638,1.26261,1.31038,0.95646,9.57205e-05,9.57205e-05,9.57205e-05
22,865.796,1.19989,1.11782,0.98857,0.56317,0.60366,0.59372,0.40933,1.24585,1.29811,0.95005,9.52889e-05,9.52889e-05,9.52889e-05
23,903.727,1.26563,1.14886,1.0088,0.55732,0.59141,0.60854,0.37495,1.5278,1.33715,1.05114,9.48377e-05,9.48377e-05,9.48377e-05
24,941.385,1.21504,1.11189,0.99905,0.58042,0.60065,0.60085,0.40647,1.22113,1.29287,0.95402,9.43671e-05,9.43671e-05,9.43671e-05
25,979.245,1.24775,1.12279,0.99985,0.52208,0.58958,0.56453,0.37393,1.40793,1.36847,0.98187,9.38772e-05,9.38772e-05,9.38772e-05
26,1016.9,1.23331,1.11772,1.0046,0.56948,0.59316,0.59421,0.37301,1.34712,1.31,0.98415,9.33683e-05,9.33683e-05,9.33683e-05
27,1054.76,1.18733,1.09865,0.98626,0.56893,0.63028,0.62632,0.40135,1.3285,1.27759,0.98276,9.28405e-05,9.28405e-05,9.28405e-05
28,1092.27,1.1731,1.08562,0.98015,0.61861,0.58213,0.59064,0.40634,1.18434,1.40178,0.94161,9.22942e-05,9.22942e-05,9.22942e-05
29,1130.09,1.19165,1.08651,0.98241,0.5841,0.62181,0.62592,0.42756,1.22026,1.22833,0.94844,9.17296e-05,9.17296e-05,9.17296e-05
30,1168.1,1.19224,1.0835,0.98188,0.59315,0.59888,0.61278,0.40565,1.3136,1.3435,0.96047,9.11469e-05,9.11469e-05,9.11469e-05
31,1205.9,1.18469,1.08755,0.9892,0.5689,0.61906,0.60407,0.41808,1.19207,1.26646,0.94287,9.05463e-05,9.05463e-05,9.05463e-05
32,1243.6,1.17197,1.05691,0.98174,0.60447,0.59811,0.60429,0.42742,1.17318,1.33705,0.93803,8.99282e-05,8.99282e-05,8.99282e-05
33,1281.26,1.12314,1.04588,0.96585,0.57622,0.60448,0.61489,0.40409,1.35107,1.36002,0.96706,8.92928e-05,8.92928e-05,8.92928e-05
34,1318.86,1.15784,1.05714,0.97696,0.60288,0.60248,0.61892,0.42022,1.2028,1.30256,0.94502,8.86404e-05,8.86404e-05,8.86404e-05
35,1356.54,1.19851,1.06081,0.98711,0.6006,0.58588,0.61003,0.41389,1.23758,1.34447,0.95816,8.79713e-05,8.79713e-05,8.79713e-05
36,1397.3,1.22477,1.07491,0.99511,0.59614,0.57364,0.5897,0.40618,1.31485,1.36367,0.95621,8.72857e-05,8.72857e-05,8.72857e-05
37,1435.19,1.15685,1.03415,0.97476,0.55713,0.58591,0.58317,0.39692,1.38071,1.42489,0.97219,8.65839e-05,8.65839e-05,8.65839e-05
38,1472.75,1.12401,1.00882,0.97241,0.58154,0.58565,0.60453,0.41404,1.31211,1.3523,0.95666,8.58664e-05,8.58664e-05,8.58664e-05
39,1510.62,1.15897,1.03045,0.97688,0.584,0.59027,0.59713,0.42562,1.14206,1.35028,0.92481,8.51333e-05,8.51333e-05,8.51333e-05
40,1548.26,1.14837,1.02441,0.96774,0.55257,0.5647,0.59179,0.41053,1.27783,1.38575,0.94761,8.43851e-05,8.43851e-05,8.43851e-05
41,1586.11,1.16005,1.02868,0.97348,0.53011,0.57589,0.57356,0.37601,1.5916,1.46559,1.01393,8.3622e-05,8.3622e-05,8.3622e-05
42,1623.79,1.12759,1.01132,0.96334,0.59104,0.59807,0.6049,0.41943,1.19148,1.31643,0.94062,8.28443e-05,8.28443e-05,8.28443e-05
43,1661.42,1.12098,0.99591,0.96082,0.55565,0.56387,0.58731,0.40567,1.26935,1.40106,0.94656,8.20525e-05,8.20525e-05,8.20525e-05
44,1699.05,1.09166,0.98687,0.96217,0.57493,0.61362,0.59894,0.41735,1.25201,1.3416,0.94198,8.12468e-05,8.12468e-05,8.12468e-05
45,1736.81,1.09509,0.97466,0.9533,0.63922,0.60109,0.61765,0.43801,1.2115,1.28978,0.9359,8.04277e-05,8.04277e-05,8.04277e-05
46,1774.67,1.11718,0.99703,0.96383,0.5975,0.57271,0.60425,0.44138,1.14351,1.35283,0.92908,7.95954e-05,7.95954e-05,7.95954e-05
47,1812.6,1.1009,0.97801,0.95394,0.63854,0.5677,0.59301,0.40685,1.27069,1.43592,0.94832,7.87503e-05,7.87503e-05,7.87503e-05
48,1850.2,1.0945,0.96472,0.95503,0.65539,0.57393,0.605,0.42105,1.18544,1.35718,0.93622,7.78929e-05,7.78929e-05,7.78929e-05
49,1889.54,1.08735,0.96105,0.95754,0.54676,0.58223,0.58491,0.39672,1.45003,1.48801,0.97836,7.70234e-05,7.70234e-05,7.70234e-05
50,1927.25,1.09242,0.96512,0.95922,0.57418,0.55421,0.58549,0.35338,1.72777,1.47924,1.04022,7.61423e-05,7.61423e-05,7.61423e-05
51,1965.02,1.07469,0.96156,0.95279,0.58452,0.56719,0.58947,0.39809,1.39412,1.40318,0.97235,7.525e-05,7.525e-05,7.525e-05
52,2002.7,1.1018,0.94936,0.95418,0.56845,0.5637,0.59215,0.4081,1.29409,1.4015,0.95818,7.43468e-05,7.43468e-05,7.43468e-05
53,2040.38,1.04834,0.91458,0.94991,0.59694,0.57152,0.59632,0.41927,1.19951,1.34256,0.93295,7.34332e-05,7.34332e-05,7.34332e-05
54,2080.17,1.07876,0.93587,0.94213,0.61862,0.54847,0.58571,0.42044,1.20906,1.42837,0.94024,7.25094e-05,7.25094e-05,7.25094e-05
55,2117.85,1.06479,0.94047,0.94976,0.58383,0.57185,0.59415,0.38594,1.50809,1.53848,0.99556,7.15761e-05,7.15761e-05,7.15761e-05
56,2155.57,1.05032,0.91158,0.94042,0.57558,0.60252,0.59515,0.43174,1.17001,1.34973,0.9347,7.06335e-05,7.06335e-05,7.06335e-05
57,2193.32,1.05641,0.91805,0.9433,0.57055,0.57781,0.58782,0.37777,1.49005,1.47906,0.98995,6.9682e-05,6.9682e-05,6.9682e-05
58,2230.97,1.01987,0.89077,0.93218,0.54427,0.58653,0.58243,0.41244,1.18918,1.3629,0.93771,6.87222e-05,6.87222e-05,6.87222e-05
59,2270.88,1.04083,0.8977,0.93584,0.58067,0.56802,0.59165,0.42289,1.14478,1.38832,0.92675,6.77543e-05,6.77543e-05,6.77543e-05
60,2311.74,1.05256,0.90215,0.94239,0.58612,0.57148,0.59044,0.4123,1.28433,1.42345,0.95058,6.67789e-05,6.67789e-05,6.67789e-05
61,2349.56,1.03883,0.88234,0.93519,0.57785,0.57778,0.58839,0.41875,1.18117,1.4161,0.9347,6.57963e-05,6.57963e-05,6.57963e-05
62,2388.57,1.07886,0.88766,0.94636,0.57829,0.53908,0.57876,0.40654,1.24069,1.51489,0.94507,6.48071e-05,6.48071e-05,6.48071e-05
63,2426.42,1.01874,0.86331,0.9282,0.54559,0.56233,0.5708,0.40162,1.23837,1.50082,0.94707,6.38115e-05,6.38115e-05,6.38115e-05
64,2464.04,1.0102,0.86447,0.92882,0.59634,0.51548,0.57068,0.41395,1.15587,1.49958,0.936,6.28101e-05,6.28101e-05,6.28101e-05
65,2501.78,0.99395,0.85697,0.92459,0.55472,0.5839,0.57996,0.4065,1.29146,1.4388,0.95262,6.18034e-05,6.18034e-05,6.18034e-05
66,2539.27,0.98468,0.84623,0.92601,0.51303,0.55443,0.5474,0.36805,1.42199,1.61839,0.98709,6.07916e-05,6.07916e-05,6.07916e-05
67,2576.91,0.98864,0.84188,0.91724,0.58027,0.55067,0.56291,0.39697,1.2619,1.50288,0.94948,5.97754e-05,5.97754e-05,5.97754e-05
68,2614.45,1.02007,0.85036,0.92793,0.53313,0.5616,0.55567,0.39628,1.2665,1.48176,0.95449,5.87551e-05,5.87551e-05,5.87551e-05
69,2655.61,1.04721,0.84942,0.93749,0.5529,0.5556,0.55701,0.39526,1.26582,1.54286,0.95694,5.77311e-05,5.77311e-05,5.77311e-05
70,2693.06,1.01087,0.83404,0.93132,0.549,0.55613,0.56003,0.38935,1.34318,1.51496,0.9666,5.6704e-05,5.6704e-05,5.6704e-05
71,2730.54,0.98036,0.81994,0.92437,0.55151,0.55939,0.56587,0.40523,1.20798,1.48397,0.94489,5.56742e-05,5.56742e-05,5.56742e-05
72,2769.9,0.97581,0.82078,0.91998,0.59742,0.56642,0.57019,0.39323,1.37291,1.51372,0.97667,5.46421e-05,5.46421e-05,5.46421e-05
73,2807.48,0.97159,0.80952,0.91903,0.55287,0.53433,0.56108,0.39899,1.25755,1.47764,0.95258,5.36081e-05,5.36081e-05,5.36081e-05
74,2845.06,0.98804,0.81441,0.92195,0.52015,0.53854,0.54941,0.39714,1.22425,1.67223,0.9479,5.25728e-05,5.25728e-05,5.25728e-05
75,2882.58,0.96794,0.79957,0.91674,0.54054,0.54347,0.55717,0.39201,1.29893,1.59922,0.9655,5.15366e-05,5.15366e-05,5.15366e-05
76,2922.37,0.952,0.79648,0.91393,0.53966,0.56155,0.55101,0.37827,1.43441,1.60314,0.99473,5.05e-05,5.05e-05,5.05e-05
77,2959.92,0.95411,0.78262,0.91409,0.54771,0.51401,0.55232,0.40423,1.22826,1.57538,0.9604,4.94634e-05,4.94634e-05,4.94634e-05
78,2997.28,0.95007,0.79749,0.91457,0.54562,0.5155,0.55155,0.39161,1.24991,1.67665,0.95621,4.84272e-05,4.84272e-05,4.84272e-05
79,3034.86,0.93765,0.78866,0.90925,0.55067,0.57348,0.55922,0.39241,1.28862,1.61028,0.96182,4.73919e-05,4.73919e-05,4.73919e-05
80,3072.34,0.98374,0.80005,0.92425,0.5647,0.53581,0.55951,0.39293,1.31469,1.62088,0.96826,4.63579e-05,4.63579e-05,4.63579e-05
81,3109.96,0.95042,0.77064,0.91057,0.57671,0.54815,0.56697,0.40404,1.27517,1.48979,0.95681,4.53258e-05,4.53258e-05,4.53258e-05
82,3147.43,0.93884,0.77937,0.91331,0.53856,0.53901,0.54878,0.3875,1.26607,1.64885,0.95538,4.4296e-05,4.4296e-05,4.4296e-05
83,3184.89,0.90897,0.74876,0.89955,0.54882,0.5316,0.54493,0.39863,1.20803,1.70633,0.95018,4.32689e-05,4.32689e-05,4.32689e-05
84,3224.22,0.9232,0.76703,0.90336,0.50853,0.55359,0.52976,0.37503,1.3574,1.71975,0.98042,4.22449e-05,4.22449e-05,4.22449e-05
85,3261.66,0.91573,0.74285,0.90366,0.56286,0.51124,0.53514,0.3811,1.31265,1.66521,0.97197,4.12246e-05,4.12246e-05,4.12246e-05
86,3300.85,0.93019,0.74041,0.90733,0.54382,0.54538,0.54425,0.37053,1.45811,1.65519,0.99537,4.02084e-05,4.02084e-05,4.02084e-05
87,3338.4,0.93419,0.75833,0.9103,0.50858,0.54582,0.53229,0.34706,1.55934,1.69589,1.01923,3.91966e-05,3.91966e-05,3.91966e-05
88,3375.78,0.93059,0.75248,0.90887,0.59696,0.50942,0.5446,0.39881,1.21535,1.58121,0.95439,3.81899e-05,3.81899e-05,3.81899e-05
89,3413.45,0.90151,0.73865,0.90189,0.54,0.52746,0.54015,0.39395,1.20337,1.69106,0.94922,3.71885e-05,3.71885e-05,3.71885e-05
90,3450.87,0.9394,0.74361,0.90551,0.57486,0.51521,0.54407,0.38529,1.2734,1.67074,0.96128,3.61929e-05,3.61929e-05,3.61929e-05
91,3488.54,0.88788,0.7223,0.8948,0.53262,0.51789,0.53525,0.39169,1.24256,1.73942,0.95292,3.52037e-05,3.52037e-05,3.52037e-05
92,3529.09,0.91273,0.74502,0.90319,0.56174,0.53483,0.54249,0.37712,1.36629,1.67045,0.9843,3.42211e-05,3.42211e-05,3.42211e-05
93,3566.61,0.89827,0.73125,0.90243,0.56645,0.52145,0.5426,0.3913,1.2233,1.67611,0.96374,3.32457e-05,3.32457e-05,3.32457e-05
94,3603.96,0.88853,0.70825,0.89909,0.56107,0.50652,0.53925,0.39957,1.20262,1.71941,0.95543,3.22778e-05,3.22778e-05,3.22778e-05
95,3641.32,0.88311,0.71751,0.89685,0.56535,0.50523,0.53257,0.38549,1.32848,1.78565,0.97484,3.1318e-05,3.1318e-05,3.1318e-05
96,3678.88,0.88742,0.71765,0.89369,0.60608,0.51436,0.5411,0.39013,1.285,1.75445,0.96864,3.03665e-05,3.03665e-05,3.03665e-05
97,3716.45,0.87237,0.71191,0.88991,0.59265,0.49921,0.53871,0.39042,1.19789,1.72548,0.95471,2.94239e-05,2.94239e-05,2.94239e-05
98,3753.81,0.90424,0.71845,0.90277,0.56611,0.51367,0.53908,0.38784,1.26872,1.8481,0.96905,2.84906e-05,2.84906e-05,2.84906e-05
99,3791.17,0.86633,0.69386,0.8925,0.56209,0.50808,0.52749,0.37909,1.31833,1.88769,0.9743,2.75668e-05,2.75668e-05,2.75668e-05
100,3828.7,0.88692,0.71586,0.89314,0.54756,0.51091,0.52309,0.38389,1.24023,1.81979,0.96069,2.66532e-05,2.66532e-05,2.66532e-05
101,3866.32,0.85879,0.68985,0.88596,0.53292,0.52778,0.53201,0.39388,1.20309,1.76024,0.95302,2.575e-05,2.575e-05,2.575e-05
102,3903.7,0.85989,0.69193,0.89022,0.58586,0.50935,0.5362,0.39621,1.19439,1.87065,0.95018,2.48577e-05,2.48577e-05,2.48577e-05
103,3941.24,0.86137,0.68495,0.89046,0.53339,0.5216,0.52853,0.39195,1.19971,1.81443,0.9496,2.39766e-05,2.39766e-05,2.39766e-05
104,3978.68,0.84305,0.67315,0.88708,0.57179,0.50683,0.53136,0.38962,1.25074,1.8004,0.96172,2.31071e-05,2.31071e-05,2.31071e-05
105,4016.04,0.8628,0.69065,0.88906,0.61608,0.49909,0.5338,0.37449,1.36953,1.8346,0.98295,2.22497e-05,2.22497e-05,2.22497e-05
106,4055.17,0.83684,0.68066,0.88387,0.56251,0.50243,0.52462,0.3815,1.27754,1.83511,0.96267,2.14046e-05,2.14046e-05,2.14046e-05
107,4092.64,0.8313,0.67041,0.88699,0.55544,0.50992,0.52394,0.38303,1.19063,1.86842,0.94895,2.05723e-05,2.05723e-05,2.05723e-05
108,4130.12,0.83031,0.67601,0.88453,0.57417,0.51436,0.53389,0.39663,1.20554,1.75187,0.95308,1.97532e-05,1.97532e-05,1.97532e-05
109,4167.65,0.83042,0.67835,0.88532,0.5724,0.51501,0.53493,0.38908,1.26603,1.77106,0.96532,1.89475e-05,1.89475e-05,1.89475e-05
110,4212.21,0.84026,0.6769,0.88509,0.58331,0.52711,0.53792,0.39296,1.22087,1.69599,0.954,1.81557e-05,1.81557e-05,1.81557e-05
111,4249.73,0.82506,0.66733,0.88267,0.57217,0.50825,0.53157,0.37746,1.31026,1.74382,0.97297,1.7378e-05,1.7378e-05,1.7378e-05
112,4287.07,0.82854,0.67232,0.88424,0.5503,0.51853,0.52776,0.38172,1.28435,1.88081,0.96724,1.66149e-05,1.66149e-05,1.66149e-05
113,4324.72,0.83025,0.66879,0.88349,0.59596,0.50057,0.53258,0.38894,1.23253,1.87234,0.95894,1.58667e-05,1.58667e-05,1.58667e-05
114,4362.13,0.82683,0.66769,0.88061,0.60156,0.50109,0.53398,0.39091,1.27723,1.88249,0.96711,1.51336e-05,1.51336e-05,1.51336e-05
115,4403.45,0.81968,0.65879,0.87902,0.57423,0.51301,0.53514,0.3944,1.23703,1.79629,0.96212,1.44161e-05,1.44161e-05,1.44161e-05
116,4440.74,0.80767,0.65359,0.88349,0.57771,0.50348,0.53163,0.38704,1.23234,1.82756,0.95843,1.37143e-05,1.37143e-05,1.37143e-05
117,4480.2,0.82722,0.66789,0.8826,0.59605,0.51919,0.53139,0.38808,1.24553,1.77545,0.96214,1.30287e-05,1.30287e-05,1.30287e-05
118,4517.71,0.81167,0.65692,0.87866,0.57479,0.51051,0.53488,0.38889,1.26805,1.81626,0.96522,1.23596e-05,1.23596e-05,1.23596e-05
119,4558.5,0.80464,0.6486,0.87727,0.56081,0.52528,0.53119,0.38213,1.30587,1.79322,0.9753,1.17072e-05,1.17072e-05,1.17072e-05
120,4595.99,0.81431,0.65336,0.8831,0.59582,0.5016,0.53011,0.38919,1.25961,1.84774,0.96881,1.10718e-05,1.10718e-05,1.10718e-05
121,4633.61,0.80725,0.64798,0.87644,0.56978,0.49516,0.51993,0.37793,1.29075,1.92363,0.97219,1.04537e-05,1.04537e-05,1.04537e-05
122,4670.92,0.79263,0.62469,0.87121,0.61131,0.49476,0.52529,0.38834,1.23691,1.90716,0.96389,9.85311e-06,9.85311e-06,9.85311e-06
123,4708.55,0.80246,0.63053,0.87388,0.58515,0.49546,0.52786,0.38599,1.29779,1.88466,0.97165,9.2704e-06,9.2704e-06,9.2704e-06
124,4745.92,0.8014,0.64972,0.87678,0.55505,0.50799,0.52772,0.38071,1.3448,1.92622,0.98114,8.70577e-06,8.70577e-06,8.70577e-06
125,4783.42,0.79789,0.63772,0.87653,0.55499,0.50655,0.52886,0.38404,1.29393,1.90507,0.97008,8.15947e-06,8.15947e-06,8.15947e-06
126,4820.8,0.79444,0.64335,0.88048,0.56739,0.49547,0.52443,0.38015,1.29842,1.9557,0.9703,7.63174e-06,7.63174e-06,7.63174e-06
127,4858.37,0.79321,0.62868,0.87352,0.58282,0.49365,0.52546,0.38636,1.23727,1.93162,0.95965,7.12282e-06,7.12282e-06,7.12282e-06
128,4895.86,0.7952,0.63915,0.87471,0.55241,0.49986,0.51803,0.37855,1.30426,1.96706,0.97168,6.63292e-06,6.63292e-06,6.63292e-06
129,4933.21,0.78128,0.62241,0.86905,0.58231,0.49229,0.52238,0.37919,1.31325,1.9417,0.97351,6.16227e-06,6.16227e-06,6.16227e-06
130,4970.6,0.79675,0.63796,0.87539,0.5636,0.49853,0.522,0.38039,1.30053,1.94901,0.96994,5.71106e-06,5.71106e-06,5.71106e-06
131,5008.03,0.78342,0.63598,0.8734,0.56383,0.50481,0.52868,0.38683,1.28412,1.92427,0.96607,5.2795e-06,5.2795e-06,5.2795e-06
132,5045.39,0.77991,0.62764,0.87011,0.57196,0.50859,0.52878,0.37991,1.36264,1.93657,0.98506,4.86777e-06,4.86777e-06,4.86777e-06
133,5082.9,0.77357,0.61636,0.87277,0.57719,0.50537,0.53105,0.3887,1.26691,1.91238,0.96613,4.47606e-06,4.47606e-06,4.47606e-06
134,5121.94,0.78727,0.63237,0.87211,0.57624,0.50653,0.52987,0.38932,1.25289,1.90323,0.96273,4.10454e-06,4.10454e-06,4.10454e-06
135,5159.36,0.7907,0.63143,0.87034,0.55556,0.5068,0.52713,0.38597,1.28132,1.88263,0.96708,3.75337e-06,3.75337e-06,3.75337e-06
136,5196.83,0.78474,0.62828,0.87227,0.58591,0.49096,0.52713,0.38283,1.3023,1.90262,0.97226,3.4227e-06,3.4227e-06,3.4227e-06
137,5234.34,0.79588,0.63957,0.87688,0.60006,0.48904,0.52806,0.38297,1.30321,1.90653,0.97211,3.11268e-06,3.11268e-06,3.11268e-06
138,5271.8,0.78545,0.62847,0.8715,0.60638,0.4921,0.52953,0.3874,1.27721,1.89908,0.96662,2.82345e-06,2.82345e-06,2.82345e-06
139,5309.25,0.79079,0.63063,0.87437,0.60704,0.49387,0.52679,0.38303,1.31627,1.91186,0.9755,2.55513e-06,2.55513e-06,2.55513e-06
140,5346.69,0.76767,0.61581,0.86662,0.59341,0.4984,0.52499,0.38008,1.3382,1.93146,0.98026,2.30784e-06,2.30784e-06,2.30784e-06
141,5386.77,0.73304,0.57234,0.86326,0.55695,0.49556,0.52089,0.37822,1.30643,1.98836,0.97828,2.08169e-06,2.08169e-06,2.08169e-06
142,5423.67,0.70967,0.52904,0.86202,0.55686,0.49634,0.52101,0.37575,1.35164,2.01348,0.98888,1.87678e-06,1.87678e-06,1.87678e-06
143,5460.5,0.68254,0.51556,0.85089,0.55183,0.49496,0.52206,0.37529,1.36485,1.97334,0.99248,1.6932e-06,1.6932e-06,1.6932e-06
144,5497.07,0.68673,0.5141,0.85379,0.54201,0.50407,0.51905,0.37295,1.37333,1.96519,0.99415,1.53102e-06,1.53102e-06,1.53102e-06
145,5533.8,0.67384,0.49625,0.851,0.55122,0.50055,0.5184,0.37179,1.37828,1.97523,0.99389,1.39032e-06,1.39032e-06,1.39032e-06
146,5570.38,0.6573,0.48721,0.84569,0.54587,0.50212,0.51836,0.37437,1.35137,1.95734,0.98727,1.27117e-06,1.27117e-06,1.27117e-06
147,5607.03,0.66241,0.48896,0.84649,0.53989,0.50485,0.5179,0.37472,1.34621,1.96115,0.98675,1.1736e-06,1.1736e-06,1.1736e-06
148,5643.67,0.66155,0.49001,0.84673,0.54061,0.50707,0.51877,0.37283,1.3666,1.94919,0.99004,1.09768e-06,1.09768e-06,1.09768e-06
149,5680.41,0.65622,0.485,0.84875,0.54079,0.50699,0.5182,0.37262,1.36709,1.96456,0.98916,1.04342e-06,1.04342e-06,1.04342e-06
150,5716.91,0.6573,0.48414,0.84977,0.54804,0.50462,0.5188,0.37334,1.3584,1.95951,0.98683,1.01086e-06,1.01086e-06,1.01086e-06
